# Mean_MJD=56717.334
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH= 9
# PLATE=7338 MJD=56717 FIBERID=0612
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  2.0407e+00  0.0000e+00    83886080    83886080
  3567.796  2.0402e+00  0.0000e+00    83886080    83886080
  3568.617  2.0396e+00  0.0000e+00    83886080    83886080
  3569.439  2.0391e+00  0.0000e+00    83886080    83886080
  3570.261  2.0385e+00  0.0000e+00    83886080    83886080
  3571.083  2.0380e+00  0.0000e+00    83886080    83886080
  3571.906  2.0374e+00  0.0000e+00    83886080    88080384
  3572.728  2.0369e+00  0.0000e+00    83886080    88080384
  3573.551  2.0364e+00  0.0000e+00    88080384    88080384
  3574.374  2.0358e+00  0.0000e+00    88080384    88080384
  3575.197  2.0353e+00  0.0000e+00    88080384    88080384
  3576.020  2.0348e+00  0.0000e+00    88080384    88080384
  3576.844  2.0342e+00  0.0000e+00    88080384    88080384
  3577.668  2.0337e+00  0.0000e+00    88080384    88080384
  3578.491  2.0332e+00  0.0000e+00    88080384    88080384
  3579.315  2.0326e+00  0.0000e+00    88080384    88080384
  3580.140  2.0321e+00  0.0000e+00    88080384    88080384
  3580.964  2.0316e+00  0.0000e+00    88080384    88080384
  3581.789  2.0310e+00  0.0000e+00    88080384    88080384
  3582.614  2.0305e+00  0.0000e+00    88080384    88080384
  3583.439  2.0300e+00  0.0000e+00    88080384    88080384
  3584.264  2.0295e+00  0.0000e+00    88080384    88080384
  3585.089  2.0289e+00  0.0000e+00    88080384    88080384
  3585.915  2.0284e+00  0.0000e+00    88080384    88080384
  3586.741  2.0279e+00  0.0000e+00    88080384    88080384
  3587.567  2.0274e+00  0.0000e+00    88080384    88080384
  3588.393  2.0268e+00  0.0000e+00    88080384    88080384
  3589.219  2.0263e+00  0.0000e+00    88080384    88080384
  3590.046  2.0258e+00  0.0000e+00    88080384    88080384
  3590.872  2.0253e+00  0.0000e+00    88080384    88080384
  3591.699  2.0248e+00  0.0000e+00    88080384    88080384
  3592.526  2.0242e+00  0.0000e+00    88080384    88080384
  3593.354  2.0237e+00  0.0000e+00    88080384    88080384
  3594.181  2.0232e+00  0.0000e+00    88080384    88080384
  3595.009  2.0227e+00  0.0000e+00    88080384    88080384
  3595.837  2.0222e+00  0.0000e+00    88080384    88080384
  3596.665  2.0217e+00  0.0000e+00    88080384    88080384
  3597.493  2.0212e+00  0.0000e+00    88080384    88080384
  3598.322  2.0206e+00  0.0000e+00    88080384    88080384
  3599.150  2.0201e+00  0.0000e+00    88080384    88080384
  3599.979  2.0196e+00  0.0000e+00    88080384    88080384
  3600.808  2.0191e+00  0.0000e+00    88080384    88080384
  3601.637  2.0186e+00  0.0000e+00    88080384    88080384
  3602.467  2.0181e+00  0.0000e+00    88080384    88080384
  3603.296  2.0176e+00  0.0000e+00    88080384    88080384
  3604.126  2.0171e+00  0.0000e+00    88080384    88080384
  3604.956  2.0166e+00  0.0000e+00    88080384    88080384
  3605.786  2.0161e+00  0.0000e+00    88080384    88080384
  3606.617  2.0156e+00  0.0000e+00    88080384    88080384
  3607.447  2.0151e+00  0.0000e+00    88080384    88080384
  3608.278  2.0146e+00  0.0000e+00    88080384    88080384
  3609.109  2.0141e+00  0.0000e+00    88080384    88080384
  3609.940  2.0136e+00  0.0000e+00    88080384    88080384
  3610.771  2.0131e+00  0.0000e+00    88080384    88080384
  3611.603  2.0126e+00  0.0000e+00    88080384    88080384
  3612.434  2.0121e+00  0.0000e+00    16777216    88080384
  3613.266  2.0116e+00  0.0000e+00    16777216   222298112
  3614.098  2.0111e+00  3.6318e+00           0   201326592
  3614.931  7.8737e-01  3.4238e+00           0           0
  3615.763  7.1607e+00  3.4587e+00           0           0
  3616.596  1.1220e+01  3.5713e+00           0           0
  3617.429  8.4095e+00  3.4572e+00           0           0
  3618.262  4.2120e+00  3.1723e+00           0           0
  3619.095  2.7634e+00  2.9987e+00           0           0
  3619.928  1.6489e+00  2.8844e+00           0           0
  3620.762 -2.1878e+00  2.8142e+00           0           0
  3621.596  2.7019e+00  2.8743e+00           0           0
  3622.430  4.6559e+00  2.9919e+00           0           0
  3623.264  4.2974e+00  2.9397e+00           0           0
  3624.098  1.9234e+00  2.8682e+00           0           0
  3624.933 -9.2635e-01  2.8415e+00           0           0
  3625.768  8.1692e-01  2.8732e+00           0           0
  3626.603  6.6774e+00  2.8979e+00           0           0
  3627.438  2.3112e+00  2.7901e+00           0           0
  3628.273 -6.8047e-01  2.5817e+00           0           0
  3629.109  5.7274e+00  2.7786e+00           0           0
  3629.944  1.1383e+01  2.8138e+00           0           0
