# Mean_MJD=59029.196
# RMID=160 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.3593
# EPOCH=90
# PLATE=7340 MJD=59029 FIBERID=0617
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  7.0426e+00  0.0000e+00    83886080    83886080
  3567.796  7.0405e+00  0.0000e+00    83886080    83886080
  3568.617  7.0383e+00  0.0000e+00    83886080    83886080
  3569.439  7.0362e+00  0.0000e+00    83886080    83886080
  3570.261  7.0341e+00  0.0000e+00    83886080    83886080
  3571.083  7.0319e+00  0.0000e+00    83886080    83886080
  3571.906  7.0298e+00  0.0000e+00    83886080    88080384
  3572.728  7.0277e+00  0.0000e+00    88080384    88080384
  3573.551  7.0255e+00  0.0000e+00    88080384    88080384
  3574.374  7.0234e+00  0.0000e+00    88080384    88080384
  3575.197  7.0213e+00  0.0000e+00    88080384    88080384
  3576.020  7.0192e+00  0.0000e+00    88080384    88080384
  3576.844  7.0171e+00  0.0000e+00    88080384    88080384
  3577.668  7.0149e+00  0.0000e+00    88080384    88080384
  3578.491  7.0128e+00  0.0000e+00    88080384    88080384
  3579.315  7.0107e+00  0.0000e+00    88080384    88080384
  3580.140  7.0086e+00  0.0000e+00    88080384    88080384
  3580.964  7.0065e+00  0.0000e+00    88080384    88080384
  3581.789  7.0044e+00  0.0000e+00    88080384    88080384
  3582.614  7.0024e+00  0.0000e+00    88080384    88080384
  3583.439  7.0003e+00  0.0000e+00    88080384    88604672
  3584.264  6.9982e+00  0.0000e+00    88080384    88604672
  3585.089  6.9961e+00  0.0000e+00    88080384    88080384
  3585.915  6.9940e+00  0.0000e+00    88080384    88080384
  3586.741  6.9920e+00  0.0000e+00    88080384    88080384
  3587.567  6.9899e+00  0.0000e+00    88080384    88080384
  3588.393  6.9878e+00  0.0000e+00    88080384    88080384
  3589.219  6.9858e+00  0.0000e+00    88080384    88080384
  3590.046  6.9837e+00  0.0000e+00    88080384    88080384
  3590.872  6.9816e+00  0.0000e+00    88080384    88080384
  3591.699  6.9796e+00  0.0000e+00    88080384    88080384
  3592.526  6.9775e+00  0.0000e+00    16777216    88080384
  3593.354  6.9755e+00  0.0000e+00    16777216    88080384
  3594.181  6.9734e+00  8.3544e+00           0           0
  3595.009  1.6430e+01  8.2064e+00           0           0
  3595.837  5.9789e-01  7.5459e+00           0           0
  3596.665  1.3289e+01  7.9015e+00           0           0
  3597.493  3.1080e+01  7.4746e+00           0           0
  3598.322 -1.5093e+01  7.0568e+00           0           0
  3599.150  2.7349e+01  7.0004e+00           0           0
  3599.979 -2.5700e-01  7.0867e+00           0           0
  3600.808  6.4982e+00  6.8196e+00           0           0
  3601.637  1.8418e+01  7.1738e+00           0           0
  3602.467  8.5392e+00  6.8680e+00           0           0
  3603.296  1.9215e+01  6.7160e+00           0           0
  3604.126  1.9545e-01  6.5025e+00           0           0
  3604.956  2.2573e+01  6.3695e+00           0           0
  3605.786  2.3951e+01  6.6186e+00           0           0
  3606.617  1.1408e+01  5.8788e+00           0           0
  3607.447  1.0731e+01  6.0840e+00           0           0
  3608.278  1.3740e+01  6.1710e+00           0           0
  3609.109  1.2694e+01  6.0165e+00           0           0
  3609.940  1.4199e+01  5.7818e+00           0           0
  3610.771  1.0541e+01  5.7227e+00           0           0
  3611.603  2.1153e+01  6.1273e+00           0           0
  3612.434  2.5170e+01  6.2190e+00           0           0
  3613.266 -7.4258e+00  5.7888e+00           0           0
  3614.098  1.9163e+01  5.8759e+00           0           0
  3614.931  8.5597e+00  6.1144e+00           0           0
  3615.763  1.4668e+01  6.1481e+00           0           0
  3616.596  1.8510e+01  6.5696e+00           0           0
  3617.429  6.7384e+00  6.1958e+00           0           0
  3618.262  1.2499e+01  6.0511e+00           0           0
  3619.095  1.2266e+01  5.8093e+00           0           0
  3619.928  1.2359e+01  5.6663e+00           0           0
  3620.762  1.8821e+01  5.7177e+00           0           0
  3621.596  1.7033e+01  5.8558e+00           0           0
  3622.430  9.7629e+00  5.8975e+00           0           0
  3623.264  1.5263e+01  5.9421e+00           0           0
  3624.098  1.1879e+01  5.8758e+00           0           0
  3624.933  2.2901e+01  5.9306e+00           0           0
  3625.768  1.4535e+01  6.0275e+00           0           0
  3626.603  1.4929e+01  5.9233e+00           0           0
  3627.438  2.3976e+01  6.6592e+00           0           0
  3628.273  5.3239e+00  6.5078e+00           0           0
  3629.109  2.0945e+01  6.7141e+00           0           0
  3629.944  2.0016e+01  6.4766e+00           0           0
  3630.780  1.0498e+01  5.9268e+00           0           0
  3631.616  9.8019e+00  5.5160e+00           0           0
  3632.453  1.5054e+01  5.4927e+00           0           0
  3633.289  1.3062e+01  5.4353e+00           0           0
  3634.126  1.7791e+01  5.6071e+00           0           0
  3634.963  2.0282e+01  5.7582e+00           0           0
  3635.800  1.4352e+01  5.7552e+00           0           0
  3636.637  3.7286e+00  5.5779e+00           0           0
  3637.475  3.8552e+00  5.5866e+00           0           0
  3638.312  1.7742e+01  6.1196e+00           0           0
  3639.150  3.2239e+00  5.8157e+00           0           0
  3639.988  2.4069e+01  6.1473e+00           0           0
  3640.826  2.9808e+01  6.2978e+00           0           0
  3641.665  1.7590e+01  5.9398e+00           0           0
  3642.503  8.2143e+00  5.6336e+00           0           0
  3643.342  8.3500e+00  5.6764e+00           0           0
  3644.181  2.2062e+01  5.8172e+00           0           0
  3645.021  2.0781e+01  5.6246e+00           0           0
  3645.860  1.4572e+01  5.3770e+00           0           0
  3646.699  1.5815e+01  5.2562e+00           0           0
  3647.539  2.1256e+01  5.3325e+00           0           0
  3648.379  2.0611e+01  5.1915e+00           0           0
  3649.219  2.2277e+01  5.2086e+00           0           0
  3650.060  9.4393e+00  4.9521e+00           0           0
  3650.900  7.8029e+00  5.0301e+00           0           0
  3651.741  1.2528e+01  5.1531e+00           0           0
  3652.582  1.3648e+01  5.2902e+00           0      524288
  3653.423  1.6611e+01  5.4444e+00           0      524288
  3654.264  1.8970e+01  5.4919e+00           0           0
  3655.106  1.4304e+01  5.4691e+00           0           0
  3655.948  1.5978e+01  5.5109e+00           0           0
  3656.790  1.8096e+01  5.4539e+00           0           0
  3657.632  9.7101e+00  5.2273e+00           0           0
  3658.474 -5.9192e-01  5.0251e+00           0           0
  3659.317  1.7397e+01  5.3502e+00           0           0
  3660.159  1.8650e+01  5.2917e+00           0           0
  3661.002  1.2594e+01  5.0885e+00           0           0
  3661.845  1.4158e+01  5.0450e+00           0           0
  3662.688  1.9193e+01  5.0098e+00           0           0
  3663.532  1.3980e+01  4.8913e+00           0           0
  3664.376  1.1289e+01  4.7891e+00           0           0
  3665.219  2.2581e+01  5.0207e+00           0           0
  3666.063  1.1949e+01  4.8093e+00           0           0
  3666.908  1.1696e+01  4.9869e+00           0           0
  3667.752  2.9853e+01  5.1526e+00           0           0
  3668.597  2.0477e+01  4.9902e+00           0           0
  3669.442  8.9294e+00  4.6322e+00           0           0
  3670.287  8.6190e+00  4.4258e+00           0           0
  3671.132  1.0083e+01  4.4116e+00           0           0
  3671.977  5.0322e+00  4.2742e+00           0           0
  3672.823  2.3420e+00  4.3721e+00           0           0
  3673.669  1.5499e+01  4.5940e+00           0           0
  3674.515  2.2549e+01  4.7809e+00           0           0
  3675.361  2.5011e+01  4.8739e+00           0           0
  3676.207  1.5208e+01  4.8336e+00           0           0
  3677.054  1.0372e+01  4.8219e+00           0    33554432
  3677.901  1.2855e+01  4.5679e+00           0    33554432
  3678.747  1.0196e+01  4.4474e+00           0           0
  3679.595  3.5914e+01  4.5965e+00           0           0
  3680.442  2.1827e+01  4.4262e+00           0           0
  3681.290  5.0268e+00  3.9887e+00           0           0
  3682.137  1.2382e+01  4.2272e+00           0           0
  3682.985  2.4348e+01  4.3661e+00           0           0
  3683.833  1.1920e+01  4.2560e+00           0           0
  3684.682  1.5076e+01  4.2014e+00           0           0
  3685.530  1.3923e+01  4.1962e+00           0           0
  3686.379  1.0292e+01  4.0688e+00           0           0
  3687.228  1.1020e+01  3.8969e+00           0           0
  3688.077  1.4119e+01  3.9450e+00           0           0
  3688.926  1.3659e+01  4.0075e+00           0           0
  3689.776  1.8270e+01  4.0881e+00           0           0
  3690.625  8.0268e+00  4.1594e+00           0           0
  3691.475  1.2876e+01  4.2609e+00           0           0
  3692.325  2.4227e+01  4.6251e+00           0           0
  3693.176  2.4425e+01  4.5316e+00           0           0
  3694.026  1.7651e+01  4.2999e+00           0           0
  3694.877  1.2476e+01  4.1699e+00           0           0
  3695.728  2.3048e+01  4.2589e+00           0           0
  3696.579  2.4135e+01  4.3161e+00           0           0
  3697.430  1.7919e+01  4.2130e+00           0           0
  3698.282  1.6165e+01  4.2169e+00           0           0
  3699.133  1.6849e+01  4.3088e+00           0           0
  3699.985  1.3202e+01  4.2504e+00           0           0
  3700.837  1.4704e+01  4.1557e+00           0           0
  3701.689  1.4846e+01  4.0833e+00           0           0
  3702.542  1.5510e+01  4.0476e+00           0           0
  3703.394  1.7997e+01  4.0474e+00           0           0
  3704.247  1.7593e+01  3.9273e+00           0           0
  3705.100  1.7334e+01  3.7750e+00           0           0
  3705.954  1.3760e+01  3.5952e+00           0           0
  3706.807  1.7676e+01  3.6178e+00           0           0
  3707.661  2.0683e+01  3.6332e+00           0           0
  3708.514  1.4929e+01  3.5018e+00           0           0
  3709.368  9.1602e+00  3.3925e+00           0           0
  3710.223  1.2041e+01  3.4257e+00           0           0
  3711.077  1.1614e+01  3.5749e+00           0           0
  3711.932  9.5639e+00  3.6182e+00           0           0
  3712.787  8.9274e+00  3.6136e+00           0           0
  3713.641  7.9644e+00  3.6189e+00           0           0
  3714.497  6.9107e+00  3.7088e+00           0           0
  3715.352  1.8638e+01  3.9765e+00           0           0
  3716.208  8.3152e+00  3.7307e+00           0           0
  3717.063  1.0384e+01  3.8008e+00           0           0
  3717.919  2.1198e+01  3.9149e+00           0           0
  3718.776  2.1045e+01  3.7165e+00           0           0
  3719.632  1.4525e+01  3.5526e+00           0    33554432
  3720.489  2.2953e+01  3.4276e+00           0    33554432
  3721.345  1.3752e+01  3.0541e+00           0           0
  3722.202  1.8618e+01  3.1935e+00           0      524288
  3723.059  2.1013e+01  3.2103e+00           0      524288
  3723.917  1.3791e+01  3.2905e+00           0           0
  3724.774  2.2722e+01  3.4099e+00           0           0
  3725.632  1.2547e+01  3.5183e+00           0      524288
  3726.490  1.7033e+01  3.5717e+00           0      524288
  3727.348  1.8313e+01  3.6123e+00           0      524288
  3728.207  1.5620e+01  3.3495e+00           0           0
  3729.065  1.6048e+01  3.3547e+00           0           0
  3729.924  1.7135e+01  3.4510e+00           0           0
  3730.783  1.9150e+01  3.4943e+00           0           0
  3731.642  1.5108e+01  3.3918e+00           0           0
  3732.501  1.4299e+01  3.2655e+00           0           0
  3733.361  1.5428e+01  3.2341e+00           0           0
  3734.221  1.5291e+01  3.0968e+00           0           0
  3735.081  1.5816e+01  2.9626e+00           0           0
  3735.941  1.3696e+01  2.8821e+00           0           0
  3736.801  1.9941e+01  2.8647e+00           0           0
  3737.662  1.4981e+01  2.8712e+00           0           0
  3738.522  1.2855e+01  2.8706e+00           0           0
  3739.383  2.0067e+01  3.1733e+00           0           0
  3740.244  1.5710e+01  3.2007e+00           0           0
  3741.106  1.2778e+01  3.1898e+00           0           0
  3741.967  1.4447e+01  3.1747e+00           0           0
  3742.829  1.4900e+01  3.1475e+00           0           0
  3743.691  1.6289e+01  3.0962e+00           0           0
  3744.553  1.8553e+01  3.0363e+00           0           0
  3745.415  1.7220e+01  2.9298e+00           0           0
  3746.278  2.1422e+01  2.9601e+00           0           0
  3747.140  1.6176e+01  2.8996e+00           0           0
  3748.003  1.3592e+01  2.8413e+00           0           0
  3748.867  1.7745e+01  2.7916e+00           0           0
  3749.730  2.0292e+01  2.6985e+00           0           0
  3750.593  1.5147e+01  2.5969e+00           0           0
  3751.457  1.7940e+01  2.8032e+00           0           0
  3752.321  1.6135e+01  2.9403e+00           0           0
  3753.185  1.5482e+01  2.9984e+00           0           0
  3754.049  1.3629e+01  2.9965e+00           0           0
  3754.914  1.2380e+01  3.0523e+00           0           0
  3755.779  1.8939e+01  3.1920e+00           0           0
  3756.643  1.4396e+01  3.1509e+00           0           0
  3757.509  1.1491e+01  2.9962e+00           0           0
  3758.374  1.7860e+01  2.8895e+00           0           0
  3759.239  2.0330e+01  2.7474e+00           0           0
  3760.105  1.7797e+01  2.8183e+00           0           0
  3760.971  2.5704e+01  3.0126e+00           0           0
  3761.837  2.2279e+01  3.0385e+00           0           0
  3762.703  1.9775e+01  2.9855e+00           0           0
  3763.570  1.8959e+01  2.7975e+00           0           0
  3764.437  1.8709e+01  2.8002e+00           0           0
  3765.303  1.9314e+01  2.8500e+00           0           0
  3766.170  2.0952e+01  2.9239e+00           0           0
  3767.038  2.1460e+01  2.8913e+00           0           0
  3767.905  1.8765e+01  2.7993e+00           0           0
  3768.773  2.1320e+01  2.8258e+00           0           0
  3769.641  2.6237e+01  2.9885e+00           0           0
  3770.509  2.3912e+01  2.8739e+00           0           0
  3771.377  1.5405e+01  2.7823e+00           0           0
  3772.246  2.4616e+01  2.8482e+00           0           0
  3773.114  2.0027e+01  2.9895e+00           0           0
  3773.983  2.3334e+01  3.1112e+00           0      524288
  3774.852  2.8293e+01  3.2004e+00           0      524288
  3775.722  2.4956e+01  3.1029e+00           0           0
  3776.591  2.5187e+01  3.0758e+00           0           0
  3777.461  2.6038e+01  3.1085e+00           0           0
  3778.331  2.2918e+01  3.0835e+00           0           0
  3779.201  2.5558e+01  3.0775e+00           0           0
  3780.071  3.1390e+01  3.1483e+00           0           0
  3780.942  3.0602e+01  3.1549e+00           0           0
  3781.812  2.3305e+01  3.0548e+00           0           0
  3782.683  2.9497e+01  3.0541e+00           0           0
  3783.554  2.5557e+01  2.9932e+00           0           0
  3784.426  2.4202e+01  3.0100e+00           0           0
  3785.297  2.7353e+01  3.0785e+00           0           0
  3786.169  2.9872e+01  3.0632e+00           0           0
  3787.041  3.0988e+01  2.9397e+00           0           0
  3787.913  2.7240e+01  2.7622e+00           0           0
  3788.785  3.2465e+01  2.8513e+00           0           0
  3789.658  3.2042e+01  2.8292e+00           0           0
  3790.530  3.0644e+01  2.8550e+00           0           0
  3791.403  3.4751e+01  2.9428e+00           0           0
  3792.276  3.4676e+01  3.0097e+00           0           0
  3793.150  2.9253e+01  2.9820e+00           0           0
  3794.023  3.6394e+01  3.0302e+00           0           0
  3794.897  3.5090e+01  2.9208e+00           0           0
  3795.771  3.2483e+01  2.9394e+00           0           0
  3796.645  3.9055e+01  2.9838e+00           0      524288
  3797.519  4.3359e+01  3.0299e+00           0      524288
  3798.394  4.3618e+01  3.0158e+00           0           0
  3799.268  4.1340e+01  2.9753e+00           0           0
  3800.143  4.7455e+01  3.0936e+00           0           0
  3801.018  4.9899e+01  3.1508e+00           0           0
  3801.894  4.2707e+01  3.0839e+00           0           0
  3802.769  4.2895e+01  3.1068e+00           0           0
  3803.645  4.9198e+01  3.1764e+00           0           0
  3804.521  5.0927e+01  3.1904e+00           0           0
  3805.397  4.8343e+01  3.0977e+00           0      524288
  3806.273  4.8459e+01  3.0453e+00           0      524288
  3807.150  5.2537e+01  3.0722e+00           0           0
  3808.027  5.3901e+01  3.0671e+00           0      524288
  3808.904  5.5319e+01  3.0636e+00           0      524288
  3809.781  5.4269e+01  3.0817e+00           0           0
  3810.658  4.9635e+01  3.0737e+00           0           0
  3811.536  4.8374e+01  3.0255e+00           0           0
  3812.413  5.2380e+01  3.0498e+00           0           0
  3813.291  5.3305e+01  3.0231e+00           0           0
  3814.169  5.3057e+01  2.9583e+00           0           0
  3815.048  5.7744e+01  2.9890e+00           0           0
  3815.926  5.3470e+01  2.8740e+00           0           0
  3816.805  4.9921e+01  2.8206e+00           0           0
  3817.684  5.4529e+01  2.8766e+00           0           0
  3818.563  5.4651e+01  2.9477e+00           0           0
  3819.443  5.5940e+01  2.9869e+00           0           0
  3820.322  5.2782e+01  2.8439e+00           0           0
  3821.202  5.0898e+01  2.7330e+00           0           0
  3822.082  5.0975e+01  2.8213e+00           0    34078720
  3822.962  5.0944e+01  2.8916e+00           0    34078720
  3823.842  5.0199e+01  2.8992e+00           0    34078720
  3824.723  4.5997e+01  2.8136e+00           0    34078720
  3825.604  4.8423e+01  2.6530e+00           0           0
  3826.485  4.6792e+01  2.5291e+00           0           0
  3827.366  4.3914e+01  2.5467e+00           0      524288
  3828.247  4.6066e+01  2.5450e+00           0      524288
  3829.129  4.7955e+01  2.5932e+00           0           0
  3830.011  4.3064e+01  2.5777e+00           0      524288
  3830.893  4.0728e+01  2.5327e+00           0      524288
  3831.775  3.9557e+01  2.5234e+00           0           0
  3832.657  3.6888e+01  2.4474e+00           0           0
  3833.540  3.4375e+01  2.3286e+00           0           0
  3834.423  3.5731e+01  2.3095e+00           0           0
  3835.306  3.6322e+01  2.3397e+00           0           0
  3836.189  3.4728e+01  2.3635e+00           0           0
  3837.072  3.1296e+01  2.3423e+00           0           0
  3837.956  3.1667e+01  2.2917e+00           0           0
  3838.840  3.3907e+01  2.2905e+00           0           0
  3839.724  2.9408e+01  2.1777e+00           0           0
  3840.608  3.3296e+01  2.2293e+00           0           0
  3841.492  2.7823e+01  2.1968e+00           0      524288
  3842.377  2.5454e+01  2.2441e+00           0      524288
  3843.262  2.8156e+01  2.3496e+00           0           0
  3844.147  2.8087e+01  2.3776e+00           0           0
  3845.032  2.3528e+01  2.3075e+00           0           0
  3845.918  2.4906e+01  2.3162e+00           0           0
  3846.803  2.2903e+01  2.2926e+00           0           0
  3847.689  2.3301e+01  2.2871e+00           0           0
  3848.575  2.6106e+01  2.3184e+00           0           0
  3849.461  2.5269e+01  2.2405e+00           0           0
  3850.348  1.9064e+01  2.1370e+00           0           0
  3851.235  1.8827e+01  2.0982e+00           0           0
  3852.121  1.8006e+01  2.0885e+00           0           0
  3853.009  2.0943e+01  2.1980e+00           0           0
  3853.896  2.3213e+01  2.1916e+00           0      524288
  3854.783  2.0959e+01  2.1309e+00           0      524288
  3855.671  1.9536e+01  2.0415e+00           0           0
  3856.559  1.8260e+01  1.9976e+00           0      524288
  3857.447  1.9571e+01  1.9799e+00           0      524288
  3858.335  1.8375e+01  1.9432e+00           0           0
  3859.224  1.6260e+01  1.8549e+00           0           0
  3860.113  1.8135e+01  1.8241e+00           0      524288
  3861.002  2.2943e+01  1.8864e+00           0      524288
  3861.891  2.0776e+01  1.9484e+00           0           0
  3862.780  2.1658e+01  2.0422e+00           0           0
  3863.670  1.7149e+01  2.0824e+00           0      524288
  3864.559  1.5211e+01  2.0665e+00           0      524288
  3865.449  2.1991e+01  2.0966e+00           0      524288
  3866.339  2.4133e+01  2.1000e+00           0           0
  3867.230  1.7982e+01  1.9723e+00           0           0
  3868.120  1.8116e+01  1.9651e+00           0           0
  3869.011  1.9545e+01  1.9851e+00           0           0
  3869.902  1.9317e+01  1.9814e+00           0           0
  3870.793  1.8036e+01  1.8996e+00           0           0
